ID,Name,cat,,model_code,alias,specs,imag,,
1548,White Ash,Light,,NV-371,white-ash,8ft. x 4ft.,NV-371-White-Ash.jpg,NV-371-White-Ash.jpg,
1549,White Beech,Light,,NV-220,white-beech,8ft. x 4ft.,NV-220-White-Beech.jpg,NV-220-White-Beech.jpg,
1550,Figured Eucalyptus,Light,,NV-350,figured-eucalyptus,8ft. x 4ft.,NV-350-Figured-Eucalyptus.jpg,NV-350-Figured-Eucalyptus.jpg,
1551,Dibeto,Light,,NULL,dibeto,8ft. x 4ft.,Dibeto.jpg,Dibeto.jpg,
1552,White Ash Quarter,Light,,NV-464,white-ash-quarter,8ft. x 4ft.,NV-464-White-Ash-Quarter.jpg,NV-464-White-Ash-Quarter.jpg,
1553,Golden Crown,Light,,NV-D166,golden-crown,8ft. x 4ft.,NV-D166-Golden-Crown.jpg,"NV-D166-Golden-Crown.jpg
",
1554,American Walnut Horizontal,Horizontal,,NULL,american-walnut-horizontal,8ft. x 4ft.,horizontal-american-walnut-horizontal-small.jpg,horizontal-american-walnut-horizontal-large.jpg,horizontal-american-walnut-horizontal-small.jpg
1555,Choco Lure Horizontal,Horizontal,,NULL,choco-lure-horizontal,8ft. x 4ft.,horizontal-choco-lure-horizontal-small.jpg,horizontal-choco-lure-horizontal-large.jpg,horizontal-choco-lure-horizontal-small.jpg
1556,Gabon Wood Horizontal,Horizontal,,NULL,gabon-wood-horizontal,8ft. x 4ft.,horizontal-gabon-wood-horizontal-small.jpg,horizontal-gabon-wood-horizontal-large.jpg,horizontal-gabon-wood-horizontal-small.jpg
1557,Louro Preto Horizontal,Horizontal,,NULL,louro-preto-horizontal,8ft. x 4ft.,horizontal-louro-preto-horizontal-small.jpg,horizontal-louro-preto-horizontal-large.jpg,horizontal-louro-preto-horizontal-small.jpg
