product_id,Kolkata,BBSR,Guwahati,Mumbai,Patna,Ranchi,Raipur,Lucknow,Indore,Nagpur,Pune,Bangalore,Hubli,Goa,Hyderabad,Gujarat,Chennai,Coimbatore,Kochi,Delhi,Gurgaon,Haryana,Ghaziabad,Ludhiana,Rajasthan,Uttarakhand
xicn7fs45p81gyztlcxu35iq,2415,2435,2510,2475,2480,2480,2480,2490,2470,2500,2485,2413,2400,2415,2425,2474,2359,2371,2355,2321,2368,2368,2405,2407,2433,2416
rku3ce59w4qguxgzuuctidu0,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
p4m9fqnjyn1rnziwoljm7ipn,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
es3cei28t7sds1ctofg9f0u1,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
v12bvvs6brcxj947jti9627v,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
l6h1ofjdprertndjjr45l875,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
qu33c5g6cqqgfrexwf67xjtv,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
ovodijrldw48nbjamc20rusa,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
uusa1zl72mwh6zw5y5w8nlpi,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
ralwqfuwj8go0cqj2re4lul4,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
ihr9acwfcp7equs2uhps7tm8,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
j63rnkdjrx5yvwuicr1inqh8,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
ib04h6svppwkpae15wb3sjmo,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
nfbhi0goqjl0i08w9nm9kvtm,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
srpebmdd8andtfy8bl3w6p75,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
gez6odbg8adhvdz7lxs5plxj,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
vjviqyekam33kz8uepy54u0h,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
qtsx628x1pvwrvxtbhdusvnm,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
mv5byr4man3agi12fh1w2qhu,2415,2435,2510,2475,2480,2480,2480,2490,2470,2500,2485,2413,2400,2415,2425,2474,2359,2371,2355,2321,2368,2368,2405,2407,2433,2416
hehn2nrcb0hbafgxnryd2oib,2415,2435,2510,2475,2480,2480,2480,2490,2470,2500,2485,2413,2400,2415,2425,2474,2359,2371,2355,2321,2368,2368,2405,2407,2433,2416
knk4pndfwkle6c6yhnm76nu7,2415,2435,2510,2475,2480,2480,2480,2490,2470,2500,2485,2413,2400,2415,2425,2474,2359,2371,2355,2321,2368,2368,2405,2407,2433,2416
a40urkpyngswbvspde89bv51,2415,2435,2510,2475,2480,2480,2480,2490,2470,2500,2485,2413,2400,2415,2425,2474,2359,2371,2355,2321,2368,2368,2405,2407,2433,2416
z5o4ib8gy2mvr02yp1m8q3u3,2415,2435,2510,2475,2480,2480,2480,2490,2470,2500,2485,2413,2400,2415,2425,2474,2359,2371,2355,2321,2368,2368,2405,2407,2433,2416
vjv4d0tv9hpc4q11hkdus2d5,2415,2435,2510,2475,2480,2480,2480,2490,2470,2500,2485,2413,2400,2415,2425,2474,2359,2371,2355,2321,2368,2368,2405,2407,2433,2416
